Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
AMD Ryzen 7 PRO 4750U,2020 Q3,7 nm FinFEt,8,16,1.7,4.1,8,64,16.0,15
AMD Ryzen 7 PRO 4750GE,2020 Q3,7 nm,8,16,3.1,4.35,8,64,12.0,35
AMD Ryzen 7 PRO 4750G,2020 Q3,7 nm,8,16,3.6,4.45,8,64,12.0,65
AMD Ryzen 7 PRO 3700U,2019 Q2,12 nm,4,8,2.3,4.0,4,32,12.0,15
AMD Ryzen 7 PRO 3700,2019 Q3,7 nm FinFET,8,16,3.6,4.4,32,128,20.0,65
AMD Ryzen 7 PRO 2700U,2018 Q1,14 nm,4,8,2.2,3.8,4,32,12.0,15
AMD Ryzen 7 Extreme Edition,2020 Q1,7nm FinFET,8,16,1.8,4.2,8,32,12.0,15
AMD Ryzen 7 5800X,2020 Q4,7nm FinFET,8,16,3.8,4.7,32,128,20.0,105
AMD Ryzen 7 5700X,2020 Q4,7 nm EUV,8,16,3.8,4.4,36,128,20.0,65
AMD Ryzen 7 4800U,2020 Q1,7nm FinFET,8,16,1.8,4.2,8,32,12.0,15
AMD Ryzen 7 4800HS,2020 Q1,7nm FinFET,8,16,2.9,4.2,8,32,12.0,35
AMD Ryzen 7 4800H,2020 Q1,7nm FinFET,8,16,2.9,4.2,8,32,12.0,45
AMD Ryzen 7 4700U,2020 Q1,7nm FinFET,8,8,2.0,4.1,8,32,12.0,15
AMD Ryzen 7 4700G,2020 Q3,7 nm,8,16,3.6,4.45,8,64,12.0,65
AMD Ryzen 7 3800XT,2020 Q3,7 nm FinFET,8,16,3.9,4.7,32,128,20.0,105
AMD Ryzen 7 3800X,2019 Q3,7 nm FinFET,8,16,3.9,4.5,32,128,20.0,105
AMD Ryzen 7 3750H,2019 Q1,12 nm,4,8,2.3,4.0,4,32,12.0,35
AMD Ryzen 7 3700X,2019 Q3,7 nm FinFET,8,16,3.6,4.4,32,128,20.0,65
AMD Ryzen 7 3700U,2019 Q1,12 nm,4,8,2.3,4.0,4,32,12.0,15
AMD Ryzen 7 2700X,2018 Q2,12 nm,8,16,3.7,4.3,16,64,20.0,105
AMD Ryzen 7 2700U,2017 Q4,14 nm,4,8,2.2,3.8,4,32,12.0,15
AMD Ryzen 7 2700E,2018 Q3,12 nm,8,16,2.8,4.0,16,64,20.0,45
AMD Ryzen 7 2700,2018 Q2,12 nm,8,16,3.2,4.1,16,64,20.0,65
AMD Ryzen 7 1800X,2017 Q1,14 nm,8,16,3.6,4.0,16,64,20.0,95
AMD Ryzen 7 1700X,2017 Q1,14 nm,8,16,3.4,3.8,16,64,20.0,95
AMD Ryzen 7 1700,2017 Q1,14 nm,8,16,3.0,3.7,16,64,20.0,65
AMD Ryzen 5 PRO 4650U,2020 Q2,7nm FinFET,6,12,2.1,4.0,8,32,16.0,15
AMD Ryzen 5 PRO 4650GE,2020 Q3,7 nm,6,12,3.3,4.25,8,64,12.0,35
AMD Ryzen 5 PRO 4650G,2020 Q3,7 nm,6,12,3.7,4.3,8,64,12.0,65
AMD Ryzen 5 PRO 3600,2019 Q3,7 nm FinFET,6,12,3.6,4.2,32,128,20.0,65
AMD Ryzen 5 PRO 3500U,2019 Q2,12 nm,4,8,2.1,3.7,4,32,12.0,15
AMD Ryzen 5 PRO 3400GE,2019 Q3,12 nm,4,8,3.3,4.0,4,64,20.0,35
AMD Ryzen 5 PRO 2400GE,2018 Q1,14 nm FinFet,4,8,3.2,3.8,4,64,8.0,35
AMD Ryzen 5 5600X,2020 Q4,7nm FinFET,6,12,3.7,4.6,32,128,20.0,65
AMD Ryzen 5 5600,2020 Q4,7 nm EUV,6,12,3.7,4.4,35,128,20.0,65
AMD Ryzen 5 5500X,2020 Q4,7 nm EUV,6,6,3.7,4.3,32,128,20.0,65
AMD Ryzen 5 5500,2020 Q4,7 nm EUV,6,6,3.7,4.3,16,128,20.0,65
AMD Ryzen 5 4600U,2020 Q1,7nm FinFET,6,12,2.1,4.0,8,32,12.0,15
AMD Ryzen 5 4600HS,2020 Q1,7nm FinFET,6,12,3.0,4.0,8,32,12.0,35
AMD Ryzen 5 4600H,2020 Q1,7nm FinFET,6,12,3.0,4.0,8,32,12.0,45
AMD Ryzen 5 4500U,2020 Q1,7nm FinFET,6,6,2.3,4.0,8,32,12.0,15
AMD Ryzen 5 4400G,2020 Q3,7 nm,6,12,3.7,4.3,8,64,12.0,65
