Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Intel Core i7-1060NG7,2020 Q2,10 nm+,4,8,1.2,3.8,8.0,32.0,16.0,10
Intel Core i7-1060G7,2019 Q3,10 nm+,4,8,1.0,3.8,8.0,32.0,16.0,9
Intel Core i7-10510U,2019 Q3,14 nm++,4,8,1.8,4.9,8.0,64.0,16.0,15
Intel Core i5-L16G7,2020 Q2,10 nm,5,5,1.4,3.0,4.0,8.0,6.0,15
Intel Core i5-9600KF,2019 Q1,14 nm++,6,6,3.7,4.6,9.0,128.0,16.0,95
Intel Core i5-9600K,2018 Q4,14 nm++,6,6,3.7,4.6,9.0,128.0,16.0,95
Intel Core i5-9600,2019 Q2,14 nm++,6,6,3.1,4.6,9.0,128.0,16.0,65
Intel Core i5-9500T,2019 Q2,14 nm++,6,6,2.2,3.7,9.0,128.0,16.0,35
Intel Core i5-9500F,2019 Q2,14 nm++,6,6,3.0,4.4,9.0,128.0,16.0,65
Intel Core i5-9500,2019 Q2,14 nm++,6,6,3.0,4.4,9.0,128.0,16.0,65
Intel Core i5-9400T,2019 Q2,14 nm++,6,6,1.8,3.4,9.0,128.0,16.0,35
Intel Core i5-9400H,2019 Q2,14 nm++,4,8,2.5,4.3,8.0,128.0,16.0,45
Intel Core i5-9400F,2019 Q1,14 nm++,6,6,2.9,4.1,9.0,128.0,16.0,65
Intel Core i5-9400,2019 Q1,14 nm++,6,6,2.9,4.1,9.0,128.0,16.0,65
Intel Core i5-9300H,2019 Q2,14 nm++,4,8,2.4,4.1,8.0,64.0,16.0,45
Intel Core i5-8600K,2017 Q4,14 nm++,6,6,3.6,4.3,9.0,64.0,16.0,95
Intel Core i5-8600,2018 Q2,14 nm++,6,6,3.1,4.3,9.0,64.0,16.0,64
Intel Core i5-8500T,2018 Q2,14 nm++,6,6,2.1,3.5,9.0,128.0,16.0,35
Intel Core i5-8500,2018 Q2,14 nm++,6,6,3.0,4.1,9.0,64.0,16.0,65
Intel Core i5-8400,2017 Q4,14 nm++,6,6,2.8,4.0,9.0,64.0,16.0,65
Intel Core i5-8365U,2019 Q2,14 nm++,4,8,1.6,4.1,6.0,64.0,16.0,15
Intel Core i5-8350U,2017 Q3,14 nm+,4,8,1.7,3.6,6.0,32.0,12.0,15
Intel Core i5-8300H,2018 Q2,14 nm++,4,8,2.3,4.0,8.0,64.0,16.0,45
Intel Core i5-8265U,2018 Q3,14 nm++,4,8,1.6,3.9,6.0,64.0,12.0,15
Intel Core i5-8259U,2018 Q2,14 nm+,4,8,2.3,3.8,6.0,32.0,16.0,28
Intel Core i5-8257U,2019 Q3,14 nm+,4,8,1.4,3.9,6.0,32.0,16.0,15
Intel Core i5-8250U,2017 Q3,14 nm+,4,8,1.6,3.4,6.0,32.0,12.0,15
Intel Core i5-8210Y,2019 Q1,14 nm,2,4,1.6,3.6,4.0,16.0,10.0,7
Intel Core i5-8200Y,2018 Q3,14 nm,2,4,1.3,3.9,4.0,16.0,10.0,5
Intel Core i5-7640X,2017 Q2,14 nm+,4,4,4.0,4.2,6.0,64.0,16.0,112
Intel Core i5-7600K,2017 Q1,14 nm+,4,4,3.8,4.2,6.0,64.0,16.0,91
Intel Core i5-7600,2017 Q1,14 nm+,4,4,3.5,4.1,6.0,64.0,16.0,65
Intel Core i5-760,2010 Q3,45 nm,4,4,2.8,3.33,8.0,16.0,16.0,95
Intel Core i5-7500,2017 Q1,14 nm+,4,4,3.4,3.8,6.0,64.0,16.0,65
Intel Core i5-750,2009 Q3,45 nm,4,4,2.66,3.2,8.0,16.0,16.0,95
Intel Core i5-7400,2017 Q1,14 nm+,4,4,3.0,3.5,6.0,64.0,16.0,65
Intel Core i5-7360U,2017 Q1,14 nm+,2,4,2.3,3.6,4.0,32.0,12.0,15
Intel Core i5-7300U,2017 Q1,14 nm+,2,4,2.6,3.5,3.0,32.0,12.0,15
Intel Core i5-7300HQ,2017 Q1,14 nm+,4,4,2.5,3.5,6.0,32.0,16.0,45
Intel Core i5-7200U,2016 Q3,14 nm+,2,4,2.5,3.1,3.0,32.0,12.0,15
Intel Core i5-6600K,2015 Q3,14 nm,4,4,3.5,3.9,6.0,64.0,16.0,91
Intel Core i5-6600,2015 Q3,14 nm,4,4,3.3,3.9,6.0,64.0,16.0,65
Intel Core i5-6500T,2015 Q3,14 nm,4,4,2.5,3.1,6.0,64.0,16.0,35
Intel Core i5-6500,2015 Q3,14 nm,4,4,3.2,3.6,6.0,64.0,16.0,65
Intel Core i5-650,2010 Q1,32 nm,2,4,3.2,3.46,4.0,16.38,16.0,73
Intel Core i5-6400,2015 Q3,14 nm,4,4,2.7,3.3,6.0,64.0,16.0,65
Intel Core i5-6300U,2015 Q3,14 nm,2,4,2.4,3.0,3.0,32.0,12.0,15
Intel Core i5-6300HQ,2015 Q3,14 nm,4,4,2.3,3.2,6.0,64.0,16.0,45
